"symbol","name","stockPrice","peRatio","marketCapitalization","divYield","revenueGrowth3yr","incomeGrowth3yr"
"MILK:CNX","Plant Veda Foods Ltd",0.035,,1165024.95,,,
"WOGC:CNX","Waskahigan Oil & Gas Corp",0.05,,659843.4,,,
"AGE:CNX","Acme Gold Co Ltd",0.05,,654750.05,,,
"RAIN:CNX","Rain City Resources Inc",0.025,,650796.58,,,
"HMBL.WT:CNX","Humble & Fume Inc Warrants (14/06/2024)",0.005,,620840.3,,,
"UX.WT:CNX","Puranium Energy Ltd Warrants (23/12/2023)",0.065,,600923.44,,,
"KETA:CNX","TripSitter Clinic Ltd",0.09,,599235.66,,,
"PLNT.X:CNX","Better Plant Sciences Inc",0.045,,896308.65,,-43.67,
"ACRG.A.U:CNX","Acreage Holdings Inc Class E (Sub Voting)",0.3,,802359,,,
"OVAT:CNX","Ovation Science Inc",0.02,,587496.72,,-35.98,
"MCCN:CNX","Medcolcanna Organics Inc",0.005,,582033.95,,,
"LRDS:CNX","Lords & Company Worldwide Holdings Corp",0.02,,577619.8,,,
"HZ.WT:CNX","Hertz Lithium Inc Warrants(06/04/2025)",0.045,,576090,,,
"ACRG.B.U:CNX","Acreage Holdings Inc Class D (Sub Voting)",0.215,,575023.95,,,
"EMPH:CNX","Empatho Holdings Inc",0.01,,561009.89,,,
"ISFT:CNX","ICEsoft Technologies Canada Corp",0.005,,560580.13,,3.83,
"SWRM:CNX","Swarmio Media Holdings Inc",0.005,,552267.15,,,
"PLNK:CNX","Plank Ventures Ltd.",0.03,,532200.57,,1263.13,
"ZOG:CNX","Zoglos Food Corp",0.005,,530956.8,,,
"FWM:CNX","Flow Metals Corp",0.06,,524975.22,,,
"HAVN:CNX","HAVN Life Sciences Inc.",0.035,,515851.39,,,
"SPOR:CNX","New Wave Holdings Corp",0.05,,510701.6,,-100,
"MSET.WT:CNX","Mindset Pharma Inc Warrants (15/04/2024)",0.005,,506494.62,,,
"YOOM:CNX","Yooma Wellness Inc",0.005,,505565.38,,,
"GDN:CNX","Golden Age Exploration Ltd",0.07,,504000.07,,,
"WISE:CNX","Earthwise Minerals Corp",0.045,,497447.24,,,
"GRCM:CNX","Geologica Resource Corp",0.04,,495570.08,,,
"BATT:CNX","Dark Star Minerals Inc",0.025,,617952.55,,,
"DOCT:CNX","Beyond Medical Technologies Inc",0.06,,474838.5,,,
"MCUR.WT:CNX","LNG Energy Group Corp Warrants (10/02/2026)",0.005,,469531.64,,,
"EI:CNX","Eurogas International Inc",0.015,,466582.89,,,
"YUM:CNX","Komo Plant Based Foods Inc",0.04,,466511.96,,287.87,
"FUEL:CNX","PlantFuel Life Inc",0.09,,474677.64,,,
"CRVC.WT:CNX","Cross River Ventures Corp Warrants (15/12/2024)",0.005,,443101.01,,,
"BRAS:CNX","Brascan Resources Inc",0.01,,438291.68,,,
"NLR:CNX","Northern Lights Resources Corp",0.01,0.59,436587.04,,,
"VICE:CNX","Vice Health and Wellness Inc",0.035,,428753.82,,39.92,
"ZEU:CNX","ZeU Technologies Inc",0.01,0.09,426942.76,,-100,
"BKS:CNX","Berkley Renewables Inc",0.04,,416458.04,,39.3,
"MOOD:CNX","Doseology Sciences Inc",0.01,,411003,,,
"MMI:CNX","Metalo Manufacturing Inc",0.02,,410001.58,,,
"TONE:CNX","Triple One Metals Inc",0.01,-2.2,400912.3,,,
"LITE:CNX","SpotLite360 IOT Solutions Inc",0.03,,394705.86,,,
"GOAT:CNX","GOAT Industries Ltd",0.12,,393801.6,,,
"BLR.WT:CNX","Blackhawk Growth Corp Warrants (17/12/2024)",0.005,,389977.97,,,
"PILL:CNX","Canntab Therapeutics Ltd",0.01,,389091.59,,-21.79,
"FGFL:CNX","First Growth Funds Limited",0.005,2.3,388991.09,,,
"IONC.WT:CNX","Ionic Brands Corp Warrants (02/03/2026)",0.005,,388477.51,,,
"COYX:CNX","CoinAnalyst Corp",0.005,,388425.02,,,
"ARTO:CNX","Aretto Wellness Inc",0.035,,380462.6,,,
"PLLR:CNX","Forty Pillars Mining Corp",0.025,,367314.73,,,
"LAI.X:CNX","La Imperial Resources Inc",0.03,,362579.1,,,
"ASIA:CNX","Asia Green Biotechnology Corp",0.01,,362471,,,
"VC:CNX","Volatus Capital Corp",0.01,,357486.02,,,
"VEXT.WT:CNX","Vext Science Inc. Warrants (02/11/2023)",0.005,1.64,354277.34,,16.63,62.73
"SBD:CNX","SBD Capital Corp",0.075,,354275.1,,-33.05,
"CALI.X:CNX","FinCanna Capital Corp",0.005,,4476739.41,,,
"WSM.X:CNX","WSM Ventures Corp",0.005,,336644.68,,,
"TIM.X:CNX","QNB Metals Inc - Class A",0.03,,323998.8,,,
"DCNN:CNX","Digicann Ventures Inc.",0.05,,319877.15,,,
"UAV:CNX","Global UAV Technologies Ltd",0.27,,316215.09,,-100,
"LVT:CNX","Levitee Labs Inc",0.005,,311019.43,,,
"VAGN:CNX","Vegano Foods Inc",0.035,1.07,304585.58,,,
"HMC:CNX","Heartfield Mining Corp",0.03,,292500.03,,,
"CHM:CNX","Chemistree Technology Inc",0.005,,289190.72,,-100,
"RAD:CNX","Radial Research Corp",0.01,,278381.89,,,
"ASTI:CNX","Aquarius Surgical Technologies Inc",0.01,,275991.72,,-32.02,
"PKB:CNX","PeakBirch Commerce Inc",0.03,,249942.6,,,
"MEAL:CNX","Nabati Foods Global Inc",0.005,,242128.56,,,
"HS.WT:CNX","HS GovTech Solutions Inc Warrants (04/02/2024)",0.005,,232209.08,,32.93,
"TEQ:CNX","Terranueva Corp",0.005,,229849.81,,,
"LOWL.WT:CNX","Lowell Farms Inc Warrants (21/12/2023)",0.02,,225523.8,,-14.71,
"VFI.X:CNX","New Frontier Ventures Inc",0.075,,217806,,-100,
"ULTA:CNX","Ultra Brands Ltd",0.025,,212197.4,,-34.26,
"NSHS:CNX","Nanosphere Health Sciences Inc",0.02,,205504.1,,-100,
"GAIA:CNX","Gaia Grow Corp",0.01,,177169.95,,,
"SQID:CNX","SQID Technologies Limited",0.01,,144168.27,,-6.37,
"VEJI:CNX","Veji Holdings Ltd",0.005,,142923.13,,,
"MJEM:CNX","Mijem Newcomm Tech Inc",0.005,,138938.18,,,
"STMN:CNX","Stearman Resources Inc",0.04,,124000,,,
"CHOO.WT:CNX","Choom Holdings Inc. Warrants (08/07/2024)",0.005,,2334865.71,,679.77,
"ARTO.WT:CNX","Aretto Wellness Inc Warrants (05/03/2024)",0.01,,108703.63,,,
"VEGA:CNX","PlantX Life Inc",0.02,,73877.74,,,
"TWOH:CNX","Two Hands Corp",0.005,,68701.31,,307,
"NPRA.WT:CNX","Nepra Foods Inc Warrants (30/03/2025)",0.005,,57605.75,,,
"NVR:CNX","North Valley Resources Ltd",0.055,,55412.5,,,
"MMF.UN:CNX","Marret Multi-Strategy Income Fund Unit - Class A",0.005,,16509.25,,,
